gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1819982989	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2013-12-30	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.441	153.3231					6.5	1.5	2013-12-30T01:00Z	30	12	2013	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2013-12-30			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982988	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2014-01-16	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.441	153.3231					6.5	1.5	2014-01-16T01:00Z	16	1	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2014-01-16			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982987	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-08-31	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-08-31T02:00Z	31	8	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-08-31			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982986	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 21-2014-02-09	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3946	153.3459					11.0	1.0	2014-02-09T01:00Z	9	2	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 21-2014-02-09			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982985	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-09-06	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-09-06T02:00Z	6	9	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-09-06			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982984	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 2-2015-06-28	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3239	153.3908					1.5	0.5	2015-06-28T02:00Z	28	6	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 2-2015-06-28			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982983	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-09-05	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-09-05T02:00Z	5	9	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-09-05			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982982	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2013-10-20	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.441	153.3231					6.5	1.5	2013-10-20T02:00Z	20	10	2013	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2013-10-20			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982981	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2013-11-06	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.441	153.3231					6.5	1.5	2013-11-06T01:00Z	6	11	2013	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 28-2013-11-06			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982980	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 29-2013-09-08	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.423	153.3391					4.0	1.0	2013-09-08T02:00Z	8	9	2013	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 29-2013-09-08			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
